file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00844_0495_3173762_to_3178184,ཤེས་རབ་དང་ཐབས་གཉིས་དེ་ཟུང་འབྲེལ་དུ་ཕ་གི་ཉམས། ཕ་གི་ཉམས་ལེན་བྱེད་ཐུབ་ཡ་དེ། ཨེ་ནས་དཀའ་ངལ་འཕྲད་ཀི་ཡོད་རེད།  ,shes rab dang thabs gnyis de zung 'brel du pha gi nyams/_pha gi nyams len byed thub ya de/_e nas dka' ngal 'phrad ki yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00844_0495_3173762_to_3178184.wav,STT_TT,2,104,4.422,wav16k/STT_TT00844_0495_3173762_to_3178184.wav,ཤེས་རབ་དང་ཐབས་གཉིས་དེ་ཟུང་འབྲེལ་དུ་ཕ་གི་ཉམས། ཕ་གི་ཉམས་ལེན་བྱེད་ཐུབ་ཡ་དེ། ཨེ་ནས་དཀའ་ངལ་འཕྲད་ཀི་ཡོད་རེད།
STT_TT00844_0511_3288714_to_3291626,ཨེ་ནས། རྟོགས་པས་བཏགས་ཙམ་མ་ཡིན་པའི་ཡོད་པ་དེ་དགག་བྱའི་སྐད་ཆ་བཤད་ཡོང་དུས།  ,e nas/_rtogs pas btags tsam ma yin pa'i yod pa de dgag bya'i skad cha bshad yong dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00844_0511_3288714_to_3291626.wav,STT_TT,2,72,2.912,wav16k/STT_TT00844_0511_3288714_to_3291626.wav,ཨེ་ནས། རྟོག་པས་བཏགས་ཙམ་མ་ཡིན་པའི་ཡོད་པ་དེ། དགག་བྱ་སྐད་ཆ་བཤད་ཡོང་དུས།
STT_MV0635_0012_153751_to_161249,དེ་ལས་སོ་སོ་སོར་ཕྱིན་རྗེས་ཁུངས་མི་རྙེད་སོང་ན་གྲོང་ཁྱེར་ཕྱི་ལ་འབྲེལ་གཏུག་བྱེད་ཤོག་གསུང་གི མ་འགྲོ རྦད་དེ་མགོ་སྐོར་བཏང་གོ་རེད།  ,de las so so sor phyin rjes khungs mi rnyed song na grong khyer phyi la 'brel gtug byed shog gsung gi_ma 'gro_rbad de mgo skor btang go red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0635_0012_153751_to_161249.wav,STT_MV,2,125,7.498,wav16k/STT_MV0635_0012_153751_to_161249.wav,དེ་ལས་སོ་སོ་སོར་ཕྱིན་བྱས་ཁུངས་སྣེ་རྙེད་སོང་ན་གྲོང་ཁྱེར་ཕྱི་ལ་འབྲེལ་གཐཏུག་བྱེད་ཀི་རེད་གསུང་གི། ངང་གྲོ་རྦད་དེ་མགོ་སྐོར་གཏང་གི་ཡོད་རེད།
STT_MV0635_0026_352948_to_356098,ང་དང་གཅེན་པོ་མེའེ་ལགས་ལོ་མང་གཤིབ་ཙང་།  ,nga dang gcen po me'e lags lo mang gshib tsang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0635_0026_352948_to_356098.wav,STT_MV,2,39,3.15,wav16k/STT_MV0635_0026_352948_to_356098.wav,ང་དང་གཅེན་པོ་མེའི་ལགས་ལོ་མང་གཤིབ་ཙང་
STT_MV0635_0027_356098_to_365967,ངས་ཁོང་ལ་རྒྱུས་མངའ་ཏོག་ཙི་ཡོད། ཁོང་གིས་ཕྱག་གཡོན་མས་ཕྱག་རིས་བྲི་གི་རེད། མ་ཟད་སྣག་བུམ་དེ་རྟག་པར ,ngas khong la rgyus mnga' tog tsi yod/_khong gis phyag g.yon mas phyag ris bri gi red/_ma zad snag bum de rtag par_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0635_0027_356098_to_365967.wav,STT_MV,2,94,9.869,wav16k/STT_MV0635_0027_356098_to_365967.wav,ངས་ཁོང་ལ་རྒྱུས་མངའ་ཏོག་ཙི་ཡོད། ཁོང་གིས་ཕྱག་གཡོན་མས་ཕྱག་རིས་འབྲི་གི་རེད། མ་ཟད་སྣ་བུམ་འདིས་རྟག་པར་
STT_MV0635_0028_365967_to_368579,གཡོན་ངོས་ཕྱོགས་དེར་བཞག་གི་རེད།  ,g.yon ngos phyogs der bzhag gi red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0635_0028_365967_to_368579.wav,STT_MV,2,32,2.612,wav16k/STT_MV0635_0028_365967_to_368579.wav,གཡོན་ངོས་ཕྱོགས་འདེར་བཞག་གི་རེད།
STT_MV0635_0029_368579_to_370281,ཡིན་ནས་ད་ལྟ་སྣག་བུམ་འདི་ ,yin nas da lta snag bum 'di _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0635_0029_368579_to_370281.wav,STT_MV,2,25,1.702,wav16k/STT_MV0635_0029_368579_to_370281.wav,ཡིན་ནས་ད་ལྟ་སྣག་བུམ་འདི་
STT_MV0635_0032_382698_to_387941,དེའི་ཚོད་དེ་ལྕམ་སྐུ་ཤོགས་ལ་བཀའ་འདྲི་ཞུ་ཡ་ཡིན། ང་ལ།  ,de'i tshod de lcam sku shogs la bka' 'dri zhu ya yin/_nga la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0635_0032_382698_to_387941.wav,STT_MV,2,52,5.243,wav16k/STT_MV0635_0032_382698_to_387941.wav,འདིའི་ཚོད་འདི་ལྕམ་སྐུ་ཤོགས་ལ་བཀའ་འདྲི་ཞུ་ཡ་ཡིན། ང་ལ་
STT_MV0635_0033_387941_to_393360,ཁང་པ་དེ་ནག་ཁུང་ཚ་དྲགས་ཤག ངེས་པར་དུ་དཀར་ཆ་དོད་པོ་དགོས་རེད། མི་ཤོག ,khang pa de nag khung tsha drags shag_nges par du dkar cha dod po dgos red/_mi shog_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0635_0033_387941_to_393360.wav,STT_MV,2,65,5.419,wav16k/STT_MV0635_0033_387941_to_393360.wav,ཁང་པ་འདི་ནག་ཁུང་ཚ་དྲགས་ཤག ངེས་པར་དུ་དྐར་ཆ་དོད་པོ་དགོས་རེད། མི་ཤོག
STT_MV0635_0034_393360_to_398136,ཤེལ་ཡོལ་ཚང་མ་ཕར་ཕྱེས། ལ་སེ།  ,shel yol tshang ma phar phyes/_la se/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0635_0034_393360_to_398136.wav,STT_MV,2,29,4.776,wav16k/STT_MV0635_0034_393360_to_398136.wav,ཤེས་ཡོན་ཚང་མ་ཕར་ཕྱིས། ལ་སེ།
